"TimeStamp","Path","Value"
"03_08_2022-17:32:48","\\usni25pxed\physicaldisk(0 c:)\% idle time","95.7771906121401"
"03_08_2022-17:32:48","\\usni25pxed\physicaldisk(_total)\% idle time","95.7771906121401"
"03_08_2022-17:32:48","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0"
"03_08_2022-17:32:48","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0.00179435217391304"
"03_08_2022-17:32:48","\\usni25pxed\memory\pages/sec","0.998711961183661"
"03_08_2022-17:32:48","\\usni25pxed\memory\available mbytes","20589"
"03_08_2022-17:32:48","\\usni25pxed\processor(_total)\% processor time","10.8688453707282"
"03_08_2022-17:32:48","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\bytes total/sec","691.108677139094"
"03_08_2022-17:32:48","\\usni25pxed\network interface(intel[r] wi-fi 6 ax201 160mhz)\output queue length","0"
"03_08_2022-17:32:48","\\usni25pxed\logicaldisk(c:)\% free space","61.9991472229397"
"03_08_2022-17:32:48","\\usni25pxed\logicaldisk(harddiskvolume1)\avg. disk queue length","0"
"03_08_2022-17:32:48","\\usni25pxed\logicaldisk(harddiskvolume2)\avg. disk queue length","0"
"03_08_2022-17:32:48","\\usni25pxed\logicaldisk(c:)\avg. disk queue length","0.041276845602399"
"03_08_2022-17:32:48","\\usni25pxed\logicaldisk(_total)\avg. disk queue length","0.041276845602399"
"03_08_2022-17:32:49","\\usni25pxed\physicaldisk(0 c:)\% idle time","97.7998944156075"
"03_08_2022-17:32:49","\\usni25pxed\physicaldisk(_total)\% idle time","97.7998944156075"
"03_08_2022-17:32:49","\\usni25pxed\physicaldisk(_total)\avg. disk sec/read","0"
"03_08_2022-17:32:49","\\usni25pxed\physicaldisk(_total)\avg. disk sec/write","0.00543425"
"03_08_2022-17:32:49","\\usni25pxed\memory\pages/sec","0"
"03_08_2022-17:32:49","\\usni25pxed\memory\available mbytes","20873"
"03_08_2022-17:32:49","\\usni25pxed\processor(_total)\% processor time","11.6645803924952"
